Serial Number,Published At,Comment
1,2022-11-19T07:15:18Z,"If you&#39;re travelling to Delhi between late Oct - Jan, please check air pollution levels in your weather app and wear a mask. Safe travels, and enjoy India."
2,2025-02-08T00:35:19Z,North India is a curse smh. Bunch of uneducated entitled people ruining it for everyone in the country.
3,2025-01-24T15:59:59Z,dont show rural side of India and make people happy.Address the issue if u got guts. STOP GLAZING.Also 150AQI is not OKAY
4,2025-01-23T18:51:09Z,"This dude is a bhakt too, the only difference is that he is white."
5,2025-01-09T17:22:34Z,thank you so much Mr. karl
6,2025-01-07T08:39:21Z,I am indian..but isn&#39;t it better to show air pollution to the world? killing people without taking actions is disgusting.Accept the fact that our uneducated and so called educated are not aware of consequences.. one guy died from a heart attack.. it was not cholesterol but oxidative stress due to air pollution...and what about sports guys who inhale this pollution throughout the year??
7,2024-12-18T12:01:26Z,Water pollution?? It is permanent
8,2024-12-05T19:53:50Z,I m from arunachal pradesh. The most fresh air found in here
9,2024-12-04T14:02:34Z,Gtfo with your &quot;India is not polluted&quot; but in the same time you have to wear a mask outside
10,2024-12-02T03:07:59Z,Nahh stop lying dude we know you are in India just to milk money from them by feeding them their validation that the indians are hungry for
11,2024-11-25T21:11:21Z,Doesn’t matter.  It’s still bad.  Hopefully India work with China to help clean up its act
12,2024-11-11T09:51:05Z,"Please check the all year average AQI , india is actually polluted, it is illogical that if u just dont see pollution with your naked eyes ,so u say there is no pollution"
13,2024-10-02T06:04:55Z,I recommend you to even visit himachal pradesh. It have its own beauty which is nowhere in India . Especially visit the chamba of himachal pradesh it&#39;s very beautiful
14,2024-09-03T16:42:12Z,Hey love from chattisgarh
15,2024-07-26T07:21:18Z,Visit to chhattisgarh Raipur nobady why not comes here but its our heart city comes welcome to all foreigners
16,2024-07-26T07:18:44Z,But cities need to improvement for neat and clean india
17,2024-07-06T14:09:15Z,Love you
18,2024-06-20T08:35:43Z,"Developing countries tend to have higher Air quality index than both already developed and underdeveloped countries. Lots of construction, high population, higher vehicle number, increased industrialisation all these things justify our pollution and are necessary proofs of us progressing from middle power to superpower country."
19,2024-06-20T08:35:36Z,Both dev
20,2024-06-16T13:38:22Z,"Why are we indians so ignorant, if we don&#39;t acknowledge the problems then we are gonna be the ones suffering. Air pollution is a SERIOUS health hazard and it&#39;s high time we acknowledge that. If we keep on focusing on the positives when will we extinguishe the negatives."
21,2024-06-16T13:36:07Z,"The problem still exists though, ppl in delhi have their lifespan cut off by 17 years cuz of air pollution. So, I think it&#39;s high time we focus on the negative factors more and correct them as soon as possible."
22,2024-02-25T06:58:22Z,But I want all states to look like the last pictures....and no one can deny that India is not clean....Some pictures can&#39;t hide the dirtiness in India....the reality is that India is very dirty and polluted and most of Indians don&#39;t care about it.....
23,2024-02-13T18:00:26Z,That’s. It true India is going down hill so is China because of the unstoppable petroleum consumption. Don’t sugar coat the truth to make you feel better
24,2024-01-31T01:20:44Z,"When it looks like this , it create all problems"
25,2024-01-30T15:25:43Z,Hello .pl come to Mumbai n you&#39;ll know
26,2024-01-26T11:33:47Z,What you are showing most of still avg air quality index in 150 which is badd as a citizens we should do something.
27,2024-01-23T18:04:37Z,You are more Indian than many Indians who constantly bad mouth about the land they gave him the opportunities!! Thank you! Lots of love from Seattle!!
28,2024-01-23T08:37:25Z,"dont lie for views...delhi is always worst..i m indian and india is worst in air , noise, water pollution, people through plastic , spit gutka here and there...shame on this"
29,2024-01-23T05:45:55Z,"When you look for  simple life and peace , Indian villages  are the best. But, are people ready for simple life? Can they walk instead of taking their cars ? Can they eat simple food?  Can they go to such places on their own rather than looking for luxury in such places?"
30,2023-12-07T06:07:15Z,Its no lie that India has the most extreme pollution is all of the world. Stop promoting these fake lies that it is prisitne. Its just not true.
31,2023-11-12T05:24:09Z,Delhi is the most polluted city of India
32,2023-11-06T07:51:15Z,"oh sure, &quot;just a few months of the year.&quot; if it&#39;s like that even ONE HOUR a year. THERE&#39;S A SERIOUS PROBLEM."
33,2023-11-05T08:55:09Z,When you can&#39;t see whats happening in Palestine this will only get worse. Fear god feel people&#39;s pain. Be Human FREE PALESTINE
34,2023-11-03T16:51:12Z,"You people have a dirty, overcrowded, poverty ridden lawless country. I don’t understand why anyone would want to live there"
35,2023-11-01T13:41:17Z,My uttrakhand looks so beautiful but know it&#39;s destroyed by outsiders  people from Delhi and other states are destroying it!
36,2023-11-01T10:17:00Z,Whole india is polluted.   .... hazy sunshine in every day
37,2023-10-25T19:36:49Z,"Man, you&#39;re doing a great service. I love the way you portray India to the world"
38,2023-10-09T04:37:23Z,Bro Please Visit TamilNadu you will Discover more
39,2023-09-30T21:25:05Z,Man i really appreciate that if it was true
40,2023-09-30T20:32:03Z,Will u gift me a iPhone gentleman. I need it.
41,2023-09-29T09:24:19Z,West Bengal is air polluted all year around unfortunately. People burn staff there constantly
42,2023-09-26T00:45:57Z,Karl you worry about the looks and there is almost 2 million deaths due to air pollution every year ...
43,2023-09-21T23:07:30Z,"Dirty, dirty and extremely dirty."
44,2023-09-20T06:12:32Z,"The drone shoot of Maharashtra, what place is that? Looks like some resort. Can you please name it?"
45,2023-09-11T03:16:13Z,The &quot;good&quot; pics also show a really smoggy sky Where is the blue cloudless skies at?
46,2023-09-04T18:53:42Z,Need more people like you Karl!! Thank you!!
47,2023-09-03T01:40:04Z,Not Jonas but Rock is our national Jiju  !
48,2023-08-30T20:33:51Z,Visit Himachal Pradesh for natural beauty
49,2023-07-29T04:50:18Z,"India is so corrupt, dirty and unsafe. Especially North India."
50,2023-07-25T10:57:20Z,How many people in New Delhi die from lung cancer due to air pollution?
51,2023-07-25T02:16:08Z,"Yeah, but Karl, the overwhelming majority of Indians live in the North which is polluted. Not just Delhi but UP Bihar Chhattisgarh Uttarakhand. All dirty and polluted. India IS dirty and overcrowded. No videos can hide this fact. Ask Indians themselves who live  there not western tourists who visit for a few weeks or months and see India through rose-tinted glasses. You don’t realize how good you have it in New Zealand."
52,2023-07-20T21:32:30Z,Indians are not disgusting dirty dogs and they aren’t animals they are awesome people!
53,2023-07-12T22:07:41Z,"I&#39;d say it&#39;s the other way around, the media shows India as this beautiful ecological place when in reality there&#39;s a lot of serious environmental problems just like or even worse than in the west."
54,2023-06-28T16:29:08Z,I love Karl he really showed us the reality as a indian I am proud of his guy he is just king universal king Karl Rock
55,2023-06-27T08:06:14Z,Air quality still shit all year round in the pinds in Punjab lol
56,2023-06-20T06:58:32Z,The air is still clouded by pollution????
57,2023-06-17T09:06:37Z,Karl is one of the most genuine youtubers  I have had the pleasure of following.
58,2023-06-12T19:22:45Z,Inside delhi there&#39;s too much pollution outside tho ut was really nice .i miss the Indian food alot
59,2023-05-28T17:36:17Z,App bahot badiya kaam karre ho sir kind of work opportunity is there
60,2023-05-28T05:08:48Z,Still a lot of pollution and smog in the good pictures..
61,2023-05-28T04:13:27Z,No clean air?? Come to Chandigarh
62,2023-05-27T13:59:04Z,Had no idea it was so green
63,2023-05-25T13:20:09Z,"You want green the meghalaya is also a place, excep-"
64,2023-05-23T15:11:25Z,Is it true. Is media projecting india like that ?
65,2023-05-22T01:40:45Z,Delhi Govt Curry pred
66,2023-05-19T18:20:46Z,Thanks karl bro to show chhattisgarh state
67,2023-05-19T17:59:39Z,Love from chattisgarh
68,2023-05-19T13:06:37Z,Manali left the chat
69,2023-05-17T04:04:05Z,Because the air being normal would not be news? Like thats the obvious reason why they wouldnt show the clear air….
70,2023-05-12T23:29:18Z,the ONLY good thing bout India:&quot;KamaSutra&quot;nothing else
71,2023-05-08T18:36:32Z,Thankyou gentleman   blessings from India.
72,2023-05-07T13:07:00Z,People really think India and Pakistan is . One of my friend pitted for living in Pakistan. First she thought that pakistani and Indian only fight and India is at fault ( since people are more brown) and further she explained how we cannot attract tourist attention since it&#39;s so polluted.  Now people be visiting India Pakistan  more than Europe.
73,2023-05-07T05:12:34Z,Thanks curl for showing the reality to the  world
74,2023-05-04T09:16:04Z,When I went to delhi because i had a conectting flight to U.P (Uttar Pradesh) from there as we wrte landing I saw much of plastic in the air.
75,2023-04-30T05:59:34Z,Lahore and Delhi
76,2023-04-28T09:54:43Z,"Okay, but it still looks like that at some points. It&#39;s still an issue reguardless."
77,2023-04-22T04:16:30Z,"Media just wants some news,they’re jealous! Media:India has slums and pollution True Side:Slums are small part,check the real part!"
78,2023-04-19T16:29:52Z,"Thank you so much karl. If anyone really wants to explore India, they should do it by subscribing to your channel. Even non delhites think delhi is always polluted, but its nov to dec"
79,2023-04-19T12:47:09Z,Love monsoon season in India
80,2023-04-12T18:38:51Z,you should visit laddakh and Asam.they look like heaven.
81,2023-04-09T17:15:21Z,News and some Youtubers too
82,2023-04-08T14:37:12Z,thank you for showing otherside of india..  love you from indoa
83,2023-04-06T06:46:46Z,Thanks for showing us Indians what we missed
84,2023-04-01T05:23:43Z,Absolutely right  bro
85,2023-03-29T04:28:49Z,Come to Meghalaya also bro
86,2023-03-24T11:56:29Z,This guy is doing a great work
87,2023-03-22T18:12:59Z,Kashmir is my favourite because there&#39;s snow. Have I visited there? No  I&#39;ve lived in India for almost 3 dacades since I was born and never left it but still haven&#39;t got to see snow .
88,2023-03-22T16:50:25Z,Right on! thank you for setting news misconceptions right.
89,2023-03-20T10:50:51Z,You should visit Bhageshwar Dham.
90,2023-03-20T05:59:34Z,"You mentioned chhattisgarh, the state having bunch of greenery and pure air. jai johar"
91,2023-03-18T09:53:14Z,Thank u for showing the reality .
92,2023-03-14T14:00:13Z,To be honest Northeast India has the cleanest and freshest air in all over India
93,2023-03-13T04:23:14Z,"This is the real India, the India shown by the news is just something else.Team"
94,2023-03-12T12:04:53Z,From my country Bangladesh  I went to India  on 3rd March and stayed in Kolkata upto 5th March then I went to Delhi on 6th March and return to Kolkata again on 9th March and came back to Dhaka ( Bangladesh ) on 11th March. India was full of clean air
95,2023-03-11T06:48:43Z,I am sorry karl i appreciate your good intent. But people or narrative in general don&#39;t really care about positives as long as there is this one sticking negative prickly character about particular thing which is so overwhelming that it becomes identity.
96,2023-03-11T02:03:49Z,But y not the govt officials take care of this like act on this issue… seems everyone around the region knows the reason for this pollution.
97,2023-03-11T01:58:52Z,Karl&#39;s love towards India is unparalleled.
98,2023-03-10T13:50:14Z,That all shows your love for your wife
99,2023-03-09T04:08:28Z,Bro media knows nothing about Pakistan and India
100,2023-03-08T17:07:22Z,The pollution that we are talking about is due to a shift in the policy of the government which has delayed certain activities creating a whole wrong climatic conditions for North India
101,2023-03-08T03:25:25Z,"Southern California looks the same during the summer months and hotter days in other seasons.  Otherwise, it&#39;s beautiful too!"
102,2023-03-06T14:23:56Z,Come to North East bro
103,2023-03-06T12:52:11Z,Chhattisgarh
104,2023-03-06T02:51:25Z,Haze haze all the way
105,2023-03-04T11:48:28Z,You need to be thrown out soon
106,2023-03-04T06:02:28Z,Thanks for the  showing TRUTH
107,2023-03-03T12:32:35Z,This guy is a full North Indian.
108,2023-03-01T04:35:10Z,When American and Chinese says slum India then good answer
109,2023-02-24T11:09:51Z,Come to NORTHEAST the place of heaven full of nature very beautiful place
110,2023-02-24T08:43:45Z,Didn&#39;t he said N- cities instead of mega cities?
111,2023-02-23T11:17:46Z,L. Country
112,2023-02-23T09:03:38Z,Yes it does...not all year but most of the year especially in metropolitan cities...See what mumbai is going through instead of spreading lies just to make ur video aesthetics
113,2023-02-22T13:54:56Z,"And those factors are stubble burning by farmers in Punjab, those who protested against farm laws"
114,2023-02-22T08:43:35Z,Welcome to Kerala karl...a real gem
115,2023-02-22T05:32:29Z,Otherwise how to promote climate control agenda through NWO.
116,2023-02-21T22:52:43Z,Let’s not kid ourselves. Most of India’s populated areas are trash filled slums. You’ll see a waterway used as a dumping ground.
117,2023-02-20T20:00:56Z,Thank You So Much For Presenting India&#39;s Real Atmosphere Which Is So Clean And Calm
118,2023-02-20T17:05:48Z,Thank you Karl... it&#39;s wonderful to see Bharat from your side your eyes...Have you ever been to Tamil Nadu do visit Isha Yoga Centre Coimbatore
119,2023-02-20T10:11:35Z,Maharashtra  India...For all States
120,2023-02-19T12:27:04Z,The truth most believe is from the perspective that&#39;s said by someone else ¯\_(ツ)_/¯
121,2023-02-18T16:10:47Z,Yes exactly this condition is only in Delhi
122,2023-02-18T08:58:15Z,Thanks for mentioning uttarakhand :)
123,2023-02-18T00:22:07Z,NO.1 SCAM COUNTRY
124,2023-02-17T17:47:05Z,I am an Indian and i totally disagree with your video. India is definitely a polluted country and you are showing just the clean cities videos.
125,2023-02-16T15:06:25Z,You are really missing south india If you want to see the greenery Come to kerala
126,2023-02-16T06:48:07Z,This guy is trying his best but we all know the reality of india.
127,2023-02-15T18:40:36Z,Uttarakhand is not polluted like other places of India And uttarkashi is one of the place that have cleanest  air
128,2023-02-15T16:25:58Z,@karl Rock I have watched your many videos. But i notice one thing common you always negative about india
129,2023-02-15T15:42:52Z,Only narinder modi makes india more n more polluted every single year
130,2023-02-15T12:00:54Z,"God has gifted me a beautiful life Nd do you know whyBecause I was born in madhya Pradesh present day  chhattisgarhNd then I went to dehradun for 4 years of schooling Nd currently working in Pune, maharastra I&#39;m blessed with nature Nd best memories i got from those 4 years in devbhomi, uttrakhandTruly heaven"
131,2023-02-15T07:37:34Z,And Northeast is even greener
132,2023-02-14T00:30:07Z,Pakistan is way beautifil than this.
133,2023-02-12T06:30:10Z,Uttarakhand my hometown missing it
134,2023-02-12T06:22:58Z,"Come to uttrakhand, clear all of your misconceptions"
135,2023-02-10T19:53:04Z,Hows that not possible if Westerners decide to plant all Factories in Asia
136,2023-02-10T15:39:29Z,Nop it&#39;s even shittier
137,2023-02-10T06:39:12Z,Why media do not show these things
138,2023-02-09T18:30:06Z,Thank you KarlIndia is most beautiful in the world
139,2023-02-08T22:25:59Z,Lol India tried to ban you
140,2023-02-08T17:14:30Z,Hey Karl plz come uttrakhand
141,2023-02-08T16:33:37Z,Who cares ?
142,2023-02-08T14:41:15Z,Most of Indian believe they are descendent of God but not monkeys.
