serial_number,website_name,url,title,date,content
1,CNA,https://www.channelnewsasia.com/asia/thailand-phuket-resort-island-garbage-rubbish-crisis-landfill-4861746,Thai resort island Phuket grapples with growing garbage crisis,,
2,CNA,https://www.channelnewsasia.com/business/toyota-unit-hino-motors-reaches-16-billion-us-diesel-emissions-settlement-4860851,Toyota unit Hino Motors reaches $1.6 billion US diesel emissions settlement,,
3,CNA,https://www.channelnewsasia.com/world/los-angeles-california-fires-pink-flame-retardants-used-what-do-we-know-4856106,Pink flame retardants are being used to slow California fires. What do we know about them?,,
4,CNA,https://www.channelnewsasia.com/commentary/la-fires-los-angeles-hollywood-pollution-climate-4853926,Commentary: Hollywood fires will cause harm long after they burn out,14 Jan 2025 06:00AM,
5,CNA,https://www.channelnewsasia.com/asia/malaysia-attract-china-tourists-young-travellers-missed-target-4842426,Malaysia focuses on attracting young Chinese tourists after missing 2024 target,10 Jan 2025 09:41AM,
6,CNA,https://www.channelnewsasia.com/sustainability/vietnam-hanoi-world-most-polluted-city-ev-health-hazard-smog-respiratory-problems-4836556,"Hanoi declared world's most polluted city, authorities seek action",,
7,CNA,https://www.channelnewsasia.com/today/big-read/online-shopping-convenience-addiction-wastage-4826366,"The convenience and the curse of online shopping: How e-commerce is fuelling addiction, wastage","27 Dec 2024 09:30PM
(Updated: 06 Jan 2025 05:47PM)",
8,CNA,https://www.channelnewsasia.com/advertorial/5-ways-achieve-healthier-scalp-and-luscious-hair-new-year-4805111,5 ways to achieve a healthier scalp and luscious hair in the new year,"23 Dec 2024 10:39AM
(Updated: 23 Dec 2024 10:54AM)",
9,CNA,https://www.channelnewsasia.com/asia/india-tightens-curbs-air-pollution-turns-severe-4811166,India tightens curbs as air pollution turns 'severe',,
10,CNA,https://www.channelnewsasia.com/asia/south-korea-jeju-island-dolphins-dying-overtourism-marine-pollution-4784146,"Dolphins around South Korea’s Jeju Island dying from overtourism, pollution, say experts",04 Dec 2024 02:37PM,
11,CNA,https://www.channelnewsasia.com/sustainability/battle-over-curbing-plastic-output-jeopardises-un-treaty-hopes-4780321,Battle over curbing plastic output jeopardises UN treaty hopes,,
