serial_number,website_name,url,title,date,content
1,INDIA TODAY,https://www.indiatoday.in/india-today-insight/story/why-its-time-for-a-green-bharat-abhiyaan-2668602-2025-01-22?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Why it's time for a Green Bharat Abhiyaan,"UPDATED: Jan 22, 2025 17:55 IST",Listen to Story
2,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/anti-pollution-curbs-grap-3-revoked-delhi-air-quality-improves-2666413-2025-01-17?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Pollution curbs under GRAP 3 revoked in Delhi as air quality improves,"UPDATED: Jan 17, 2025 19:22 IST",Listen to Story
3,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/pollution-curbs-grap-iv-relaxed-delhi-air-quality-improves-aqi-2665861-2025-01-16?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Strictest pollution curbs under GRAP-IV revoked as Delhi air quality improves,"UPDATED: Jan 16, 2025 20:24 IST",Listen to Story
4,INDIA TODAY,https://www.indiatoday.in/india/law-news/story/mumbai-pollution-bombay-high-court-calls-for-panel-on-phasing-out-diesel-vehicles-2665451-2025-01-16?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Mumbai pollution: High Court calls for panel on phasing out diesel vehicles,"UPDATED: Jan 16, 2025 12:58 IST",Listen to Story
5,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-ncr-region-zero-visibility-dense-fog-flights-trains-air-quality-aqi-weather-2664911-2025-01-15?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Over 300 flights delayed, trains hit as dense fog reduces visibility in Delhi","UPDATED: Jan 15, 2025 12:49 IST",Listen to Story
6,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/pollution-restrictions-under-grap-3-revoked-delhi-ncr-air-quality-improves-after-rain-2663703-2025-01-12?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Pollution curbs under GRAP-3 revoked in Delhi-NCR as air quality improves,"UPDATED: Jan 12, 2025 19:17 IST",Listen to Story
7,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-weather-update-rain-lashes-parts-of-delhi-ncr-as-temperature-dips-45-trains-delayed-2663440-2025-01-11?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Chilly weekend for Delhi-NCR as rain, fog lower temperature","UPDATED: Jan 11, 2025 23:16 IST",Listen to Story
8,INDIA TODAY,https://www.indiatoday.in/india/law-news/story/bombay-high-court-on-air-pollution-mumbai-air-quality-crisis-aqi-2662615-2025-01-10?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Will Mumbai continue to face haze each year: Bombay High Court on air pollution,"UPDATED: Jan 10, 2025 04:11 IST",Listen to Story
9,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/air-pollution-delhi-weather-aqi-quality-caqm-measures-grap-stage-3-2662434-2025-01-09?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Anti-pollution curbs under GRAP-III back as Delhi air quality worsens,"UPDATED: Jan 9, 2025 23:21 IST",Listen to Story
10,INDIA TODAY,https://www.indiatoday.in/india/story/air-quality-panel-caqm-dust-pollution-directive-delhi-ncr-haryana-uttar-pradesh-gurugram-faridabad-rajasthan-2662312-2025-01-09?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Air quality panel seeks action plans to reduce dust pollution in Delhi-NCR,"UPDATED: Jan 9, 2025 21:31 IST",Listen to Story
11,INDIA TODAY,https://www.indiatoday.in/health/story/study-links-microplastics-from-vehicle-tyres-leading-to-lung-and-colon-cancer-2661623-2025-01-08?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Study links microplastics from vehicle tyres leading to lung and colon cancer,"UPDATED: Jan 8, 2025 18:19 IST",Listen to Story
12,INDIA TODAY,https://www.indiatoday.in/india-today-insight/story/how-climate-change-impairs-reproductive-health-2661541-2025-01-08?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,How climate change impairs reproductive health,"UPDATED: Jan 8, 2025 16:35 IST",Listen to Story
13,INDIA TODAY,https://www.indiatoday.in/technology/reviews/story/forbes-air-purifier-500-review-affordable-and-effective-2660976-2025-01-07?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Forbes Air Purifier 500 review: Affordable and effective,"UPDATED: Jan 7, 2025 16:15 IST",Listen to Story
14,INDIA TODAY,https://www.indiatoday.in/india/story/air-pollution-bigger-threat-than-cancer-age-reversing-ceo-sounds-alarm-2660717-2025-01-07?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Air pollution bigger threat than cancer? Age-reversing CEO sounds alarm,"UPDATED: Jan 7, 2025 07:24 IST",Listen to Story
15,INDIA TODAY,https://www.indiatoday.in/india-today-insight/story/why-fogged-out-delhi-isnt-expecting-a-better-january-than-last-year-2660358-2025-01-06?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Why fogged out Delhi isn't expecting a better January than last year,"UPDATED: Jan 6, 2025 15:12 IST",Listen to Story
16,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-weather-light-rain-forecast-cold-day-flight-operations-normal-fog-conditions-2660159-2025-01-06?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Rain lashes parts of Delhi, flight operations normal despite fog","UPDATED: Jan 6, 2025 09:12 IST",Listen to Story
17,INDIA TODAY,https://www.indiatoday.in/india/story/delhi-air-pollution-grap-3-restrictions-lifted-ncr-petrol-diesel-vehicles-allowed-2660076-2025-01-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Pollution curbs under GRAP-3 lifted in Delhi-NCR, restrictions on vehicles eased","UPDATED: Jan 6, 2025 04:17 IST",Listen to Story
18,INDIA TODAY,https://www.indiatoday.in/magazine/cover-story/vision-2025/story/20250113-climate-change-now-for-a-green-bharat-abhiyaan-by-navroz-k-dubash-india2025-2659202-2025-01-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Climate change | Now for a green Bharat abhiyaan | By Navroz K. Dubash,"ISSUE DATE: Jan 13, 2025","In 2024, climate change continued its seemingly relentless march. Once the data are in, 2024 will almost certainly be the warmest year on record, beating 2023. This is not an outlier; the 10 warmest years recorded have all occurred since 2010. Yet greenhouse gas emissions, which cause climate change, are still rising, not falling. Emissions grew by more than 1 per cent during 2023 even as scientists say they need to peak and then decline by 25 per cent to 40 per cent by 2030."
19,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-sees-seasons-longest-zero-visibility-spell-on-january-4-flights-diverted-2659866-2025-01-05?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"18 flights cancelled, over 250 delayed in Delhi amid dense fog; 60 trains affected","UPDATED: Jan 5, 2025 14:24 IST",Listen to Story
20,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/zero-visibility-parts-of-delhi-due-to-dense-fog-air-quality-recorded-severe-at-many-stations-2659517-2025-01-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Zero visibility in parts of Delhi due to fog, air quality severe at many stations","UPDATED: Jan 3, 2025 23:57 IST",Listen to Story
21,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-air-quality-worsens-curbs-on-petrol-diesel-vehicles-back-under-grap-3-2659390-2025-01-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Delhi air quality worsens, curbs on petrol, diesel vehicles back under GRAP 3","UPDATED: Jan 3, 2025 19:13 IST",Listen to Story
22,INDIA TODAY,https://www.indiatoday.in/elections/assembly/video/delhi-polls-congress-fields-alka-lamba-against-atishi-in-kalkaji-2659371-2025-01-03?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Delhi polls: Congress fields Alka Lamba against Atishi in Kalkaji,,"Congress has fielded Alka Lamba as its candidate against Delhi Chief Minister Atishi in the Kalkaji constituency. Alka Lamba, the Mahila Congress president, has been slamming the AAP government over its handling of air pollution, Yamuna water pollution, crime, unemployment, and the controversial alcohol policy. The upcoming Delhi elections promise to be a high-profile contest with hopes of a revival for both the Congress and BJP.
Read More"
23,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-cleanest-december-air-quality-2015-aqi-system-began-2657594-2024-12-31?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Delhi records cleanest December air since 2015 when AQI system began,"UPDATED: Dec 31, 2024 14:33 IST",Listen to Story
24,INDIA TODAY,https://www.indiatoday.in/cities/mumbai/story/mumbai-air-quality-poor-category-bmc-halts-construction-work-byculla-borivali-east-2657432-2024-12-30?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Mumbai civic body halts construction work in 2 areas as air quality dips,"UPDATED: Dec 30, 2024 21:45 IST",Listen to Story
25,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-ncr-rain-temperature-dips-after-yellow-alert-winter-western-cyclonic-disturbances-2656536-2024-12-28?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Delhi records highest single-day December rainfall in 101 years,"UPDATED: Dec 28, 2024 11:54 IST",Listen to Story
26,INDIA TODAY,https://www.indiatoday.in/cities/mumbai/story/anti-smog-guns-with-fifty-metre-throw-capacity-deployed-mumbai-fight-air-pollution-2656516-2024-12-28?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Anti-smog guns with 50-metre throw capacity deployed in Mumbai to fight pollution,"UPDATED: Dec 28, 2024 03:18 IST",Listen to Story
27,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-pollution-curbs-under-grap-3-revoked-air-quality-shows-improvement-2656428-2024-12-27?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Pollution curbs under GRAP-3 revoked in Delhi-NCR as air quality improves,"UPDATED: Dec 27, 2024 21:13 IST",Listen to Story
28,INDIA TODAY,https://www.indiatoday.in/information/story/delhis-aqi-remains-very-poor-after-drizzle-imd-warns-with-yellow-alert-stmp-2656288-2024-12-27?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,Delhi's AQI remains 'very poor' after drizzle; IMD warns with yellow alert,"UPDATED: Dec 27, 2024 17:25 IST",Listen to Story
29,INDIA TODAY,https://www.indiatoday.in/cities/mumbai/video/bmc-tackles-air-quality-with-deep-cleaning-drives-ytvd-2655610-2024-12-26?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,BMC launches deep cleaning drive to combat Mumbai's air pollution,,"The Brihanmumbai Municipal Corporation (BMC) has started comprehensive cleaning operations in Mumbai to tackle the city's deteriorating air quality. The initiative involves road cleaning and deploying air mist technology to reduce dust. BMC's efforts are concentrated on construction zones, covering about 250 km of roads daily. Penalties are being levied on compliance violators.
Read More"
30,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-weather-winter-flight-operations-igi-airport-aqi-pollution-fog-christmas-rain-pollution-2655014-2024-12-25?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Flight and train operations hit in Delhi as fog reduces visibility, AQI at 334","UPDATED: Dec 25, 2024 10:26 IST",Listen to Story
31,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/no-respite-severe-aqi-delhi-yamuna-river-ammonia-water-shortage-2654408-2024-12-24?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"No respite from 'severe' air in Delhi, water shortage a problem too. Know why","UPDATED: Dec 24, 2024 10:51 IST",Listen to Story
32,INDIA TODAY,https://www.indiatoday.in/cities/delhi/story/delhi-ncr-light-rain-air-quality-index-severe-weather-forecast-pollution-relief-2653849-2024-12-23?utm_source=global-search&utm_medium=global-search&utm_campaign=global-search,"Light rain in parts of Delhi-NCR, air quality remains 'severe'","UPDATED: Dec 23, 2024 12:47 IST",Listen to Story
