serial_number,website_name,url,title,date,content
1,IndiaTV News,https://www.indiatvnews.com/news/india/stubble-burning-stopped-delhi-air-pollution-situation-serious-prakash-javadekar-669239,Stubble burning has stopped but Delhi's air pollution situation remains serious: Javadekar,"Published : Dec 04, 2020 13:30 IST, Updated : Dec 04, 2020 13:30 IST","Union Environment Minister Prakash Javadekar Stubble burning has stopped now but Delhi's air pollution situation remains serious, Union Environment Minister Prakash Javadekar said on Friday urging the Arvind Kejriwal government to take swift action on the complaints forwarded to it by the CPCB. The minister said several complaints that activities like biomass and garbage burning, improper waste disposal, violation of construction and demolition waste rules, unpaved roads and dust, which cause pollution, are still being carried out. In a message from his residence here, Javadekar said that the apex pollution watchdog -- Central Pollution Control Board (CPCB) -- has issued a notice to the Delhi government to take strict and swift action on the complaints forwarded to it about activities causing pollution in Delhi-National Capital Region. “The situation of air pollution in Delhi is still serious. Stubble burning has stopped but Delhi's air quality index still remains in 'very poor' category,"" Javadekar said. “CPCB's 50 teams inspect Delhi and NCR every day and submit the complaints and observations from those visits to the agencies concerned. Yet, some work is done, some not. Hence, the CPCB has issued a notice to the Delhi government asking it to take necessary and swift action on complaints we are forwarding to it,” he said. “Delhi government and all agencies concerned should swing into action as stubble burning has stopped now,” Javadekar said. In its notice, the CPCB asked the Delhi government to take strict action against industrial activities causing pollution like tyre pyrolysis, burning of tyres and other wastes etc. ALSO READ | PM Modi's Mann Ki Baat: How a farmer earned Rs 50 lakh profit by selling stubble TOP NEWS Centre cancels Nayakkarpatti tungsten mining auction in Madurai amid farmers' opposition Emergency vs Azaad: Which film ruled box office in first week of theatrical release? Novak Djokovic pulls out of Australian Open semifinal due to injury, Alexander Zverev gets walkover LATEST NEWS FIITJEE coaching centres closed in Delhi, UP over teacher’s unpaid salaries Supreme Court rejects PIL seeking to scrap TDS system of tax collection: 'Very badly drafted' UP bypolls: 'Samajwadi Party promoted mafias, now opposing Mahakumbh Mela', says CM Yogi in Milkipur Monkeypox in Karnataka: Check here the symptoms, risk factors and preventive measures © 2009-2025 Independent News Service. All rights reserved."
2,IndiaTV News,https://www.indiatvnews.com/entertainment/celebrities/vivek-oberoi-shares-thoughtful-video-on-national-pollution-control-day-mother-earth-deserves-care-668819,Vivek Oberoi shares thoughtful video on National Pollution Control Day: Mother Earth deserves care,"Published : Dec 02, 2020 15:55 IST, Updated : Dec 02, 2020 15:55 IST","Vivek Oberoi shares thoughtful video on National Pollution Control Day: Mother Earth deserves care Actor Vivek Oberoi, on Wednesday, shared a video encouraging people to engage in creating a pollution-free environment on the National Pollution Control Day. The 'Masti' actor took to Instagram, to post a clip wherein he shared his thoughts on National Pollution Control Day. Marking the importance of the day, the actor says, ""Our mother Earth deserves the care that we have been unfortunately lacking to give. Together let's show the strength, intend and capability to make our environment truly green, clean and pollution-free."" Oberoi further added, ""Today is National Pollution Control Day, so be a part of the solution not a part of the pollution,"" while he is seen taking a walk in the lawn. The star emphasised on being a part of the solution to pollution as he noted, ""Be a part of the solution, not a part of the pollution. #NationalPollutionControlDay #ClimateCrisis #recycle #reuse #GoEcoFriendly #GoGreen #LoveNature"" with a green heart emoticon. National Pollution Control Day is celebrated every year on December 2 to infuse awareness among people about environmental pollution and its horrendous consequences. It is observed in India in order to give the honour and memorialise the thousands of human beings who had lost their existence because of the Bhopal gas calamity. -With ANI inputs TOP NEWS Centre cancels Nayakkarpatti tungsten mining auction in Madurai amid farmers' opposition Emergency vs Azaad: Which film ruled box office in first week of theatrical release? Novak Djokovic pulls out of Australian Open semifinal due to injury, Alexander Zverev gets walkover LATEST NEWS FIITJEE coaching centres closed in Delhi, UP over teacher’s unpaid salaries Supreme Court rejects PIL seeking to scrap TDS system of tax collection: 'Very badly drafted' UP bypolls: 'Samajwadi Party promoted mafias, now opposing Mahakumbh Mela', says CM Yogi in Milkipur Monkeypox in Karnataka: Check here the symptoms, risk factors and preventive measures © 2009-2025 Independent News Service. All rights reserved."
3,IndiaTV News,https://www.indiatvnews.com/news/india/delhi-fog-delhi-air-quality-very-poor-imd-weather-forecast-670199,Delhi wakes up to moderate fog; air quality continues to be 'very poor',"Published : Dec 09, 2020 9:43 IST, Updated : Dec 09, 2020 10:01 IST","Moderate fog predicted for Delhi, air quality remains 'very poor' The national capital on Wednesday witnessed 'moderate fog', as earlier predicted by the India Meteorological Department (IMD). The maximum temperature recorded yesterday was 28.4 degrees Celsius, while the minimum temperature was recorded at 9.8 degrees Celsius. Meanwhile, a thick layer of fog enveloped parts of Delhi this morning including GT Karnal Road and the Ghazipur area. The overall air quality was recorded at 367 in Delhi at around 9:00 am today. An AQI between 0-50 is marked good, 51-100 is satisfactory, 101-200 is moderate, 201- 300 is poor, 301-400 is very poor and 401-500 is considered severe. Yesterday, the System of Air Quality and Weather Forecasting And Research (SAFAR) predicted ""very poor"" air quality in parts of the national capital for two days. 'Very Poor' AQI indicates ambient concentration values of air pollutants are very high and their likely health impacts include respiratory illness on prolonged exposure while the 'Severe' category air affects healthy people and seriously impacts those with existing diseases. TOP NEWS Centre cancels Nayakkarpatti tungsten mining auction in Madurai amid farmers' opposition Emergency vs Azaad: Which film ruled box office in first week of theatrical release? Novak Djokovic pulls out of Australian Open semifinal due to injury, Alexander Zverev gets walkover LATEST NEWS FIITJEE coaching centres closed in Delhi, UP over teacher’s unpaid salaries Supreme Court rejects PIL seeking to scrap TDS system of tax collection: 'Very badly drafted' UP bypolls: 'Samajwadi Party promoted mafias, now opposing Mahakumbh Mela', says CM Yogi in Milkipur Monkeypox in Karnataka: Check here the symptoms, risk factors and preventive measures © 2009-2025 Independent News Service. All rights reserved."
4,IndiaTV News,https://www.indiatvnews.com/news/india/delhi-temperature-fog-poor-air-quality-weather-forecast-669979,"'Moderate fog' in Delhi as mercury dips below 10 deg C, air quality 'very poor'","Published : Dec 08, 2020 10:26 IST, Updated : Dec 08, 2020 10:26 IST","'Moderate fog' in Delhi as mercury dips below 10 deg C, air quality 'very poor' Delhi's minimum temperature dropped to 9.5 degrees Celsius and a blanket of fog covered the national capital, affecting visibility on Tuesday morning. On Monday, “very dense” fog had lowered visibility in some areas to “zero” metres. The Safdarjung and Palam weather stations recorded a visibility of 300 metres due to “moderate” fog at 8:30 am, an official of the India Meteorological Department (IMD) said. The visibility should be around 800 metres at the airport for flights to take off, said Kuldeep Srivastava, the head of the IMD's regional forecasting centre. According to the IMD, “very dense” fog is when visibility is between 0 and 50 metres, 51 and 200 is “dense”, 201 and 500 “moderate”, and 501 and 1,000 “shallow”. ALSO READ | Bharat Bandh traffic update: Haryana, Delhi issue advisory; List of roads to avoid The mercury is likely to dip further with the wind direction changing to westerly-northwesterly. These icy cold winds blow from snow-laden western Himalayas towards the plains. Delhi's air quality was recorded in the upper end of the “very poor” category on Tuesday. The city's air quality index (AQI) was 393 at 9 am on Tuesday. The 24-hour average was 400 on Monday, 389 on Sunday and 404 on Saturday. Air pollution in the neighbouring cities of Ghaziabad (AQI 436), Greater Noida (415) and Noida (414) remained in the “severe” zone for the third consecutive day. An AQI between zero and 50 is considered ""good"", 51 and 100 ""satisfactory"", 101 and 200 ""moderate"", 201 and 300 ""poor"", 301 and 400 ""very poor"", and 401 and 500 ""severe"". The IMD said the maximum wind speed will be around 12 kmph on Tuesday. Calm winds and low temperatures trap pollutants close to the ground, while favourable wind speed helps in their dispersion. TOP NEWS Centre cancels Nayakkarpatti tungsten mining auction in Madurai amid farmers' opposition Emergency vs Azaad: Which film ruled box office in first week of theatrical release? Novak Djokovic pulls out of Australian Open semifinal due to injury, Alexander Zverev gets walkover LATEST NEWS FIITJEE coaching centres closed in Delhi, UP over teacher’s unpaid salaries Supreme Court rejects PIL seeking to scrap TDS system of tax collection: 'Very badly drafted' UP bypolls: 'Samajwadi Party promoted mafias, now opposing Mahakumbh Mela', says CM Yogi in Milkipur Monkeypox in Karnataka: Check here the symptoms, risk factors and preventive measures © 2009-2025 Independent News Service. All rights reserved."
5,IndiaTV News,https://www.indiatvnews.com/video/lifestyle/yoga-tips-14-dec-2024-swami-ramdev-shares-helpful-yogasanas-to-treat-thyroid-problems-2024-12-14-966167,"Yoga Tips, 14 Dec 2024: Swami Ramdev Shares Helpful Yogasanas to Treat Thyroid Problems","Updated on: December 14, 2024 9:54 IST","Smog blankets Delhi-NCR causing delay in flights, schools asked to go online Aerial Footage Shows Delhi Enshrouded In Smog As AQI Falls In 'Severe' Category Yoga Tips, 14 Nov 2024: Increased weight causes diabetes, know from Swami Ramdev how to control it RECOMMENDED VIDEO Smog blankets Delhi-NCR causing delay in flights, schools asked to go online Aerial Footage Shows Delhi Enshrouded In Smog As AQI Falls In 'Severe' Category Yoga Tips, 14 Nov 2024: Increased weight causes diabetes, know from Swami Ramdev how to control it Yoga: Which lifestyle diseases are there due to lack of sleep? TOP NEWS Saif Ali Khan knife attack case: Mumbai Police records statement | Here's what the actor revealed Farooq Abdullah captivates devotees as he sings 'Tune Mujhe Bulaya Sherawaliye' bhajan | WATCH UP Foundation Day 2025: How Uttar Pradesh became one of the prominent states giving 9 PMs to India 'Blatantly unconstitutional': Judge blocks Trump's executive order stopping birthright citizenship LATEST NEWS 'Best feeling as a child'; internet amused as little girl's reaction to spotting parents goes viral Stock market opens in green in early trade, Sensex surges over 266 points, Nifty above 23,200 Delhi: Several flight services delayed due to foggy weather, temperature plunges to 11 degrees UP Foundation Day 2025: How Uttar Pradesh became one of the prominent states giving 9 PMs to India © 2009-2025 Independent News Service. All rights reserved."
6,IndiaTV News,https://www.indiatvnews.com/video/lifestyle/yoga-tips-14-nov-2024-increased-weight-causes-diabetes-know-from-swami-ramdev-how-to-control-it-2024-11-14-961560,"Yoga Tips, 14 Nov 2024: Increased weight causes diabetes, know from Swami Ramdev how to control it","Updated on: November 14, 2024 9:33 IST","Yoga Tips, 14 Dec 2024: Swami Ramdev Shares Helpful Yogasanas to Treat Thyroid Problems Yoga | 05 Nov 2024: People are becoming high blood pressure patients due to dangerous pollution. Delhi Air Pollution: Expert Insights on Symptoms, Risks and Ways To Protect Yourself | Health DNA RECOMMENDED VIDEO Yoga Tips, 14 Dec 2024: Swami Ramdev Shares Helpful Yogasanas to Treat Thyroid Problems Yoga | 05 Nov 2024: People are becoming high blood pressure patients due to dangerous pollution. Delhi Air Pollution: Expert Insights on Symptoms, Risks and Ways To Protect Yourself | Health DNA Yamuna River Gets Covered In Froth: Why This Phenomenon Occurs In October-November | Delhi Pollution TOP NEWS UP bypolls: 'Samajwadi Party promoted mafias, now opposing Mahakumbh Mela', says CM Yogi in Milkipur Three schools in Vadodara, including Navrachana School, receive bomb threat, police rush to spot Mokama firing incident: Gangster Sonu Singh and ex-MLA Anant Singh's supporter arrested in Bihar CBSE issues guidelines for 10th, and 12th board exams - List of permitted, barred items, dresscode LATEST NEWS FIITJEE coaching centres closed in Delhi, UP over teacher’s unpaid salaries Supreme Court rejects PIL seeking to scrap TDS system of tax collection: 'Very badly drafted' UP bypolls: 'Samajwadi Party promoted mafias, now opposing Mahakumbh Mela', says CM Yogi in Milkipur Monkeypox in Karnataka: Check here the symptoms, risk factors and preventive measures © 2009-2025 Independent News Service. All rights reserved."
7,IndiaTV News,https://www.indiatvnews.com/video/yoga/yoga-05-nov-2024-people-are-becoming-high-blood-pressure-patients-due-to-dangerous-pollution-2024-11-05-960201,Yoga | 05 Nov 2024: People are becoming high blood pressure patients due to dangerous pollution.,"Updated on: November 05, 2024 11:09 IST","Yoga With Swami Ramdev, 20 Jan, 2025 : Fight thyroid symptoms with yoga Yoga With Swami Ramdev, 18 Jan, 2025 : Hormonal imbalance is dangerous… why are men and women becoming victims? Yoga With Swami Ramdev: Ayurvedic therapy will help you get rid of the habit of painkillers. RECOMMENDED VIDEO Yoga With Swami Ramdev, 20 Jan, 2025 : Fight thyroid symptoms with yoga Yoga With Swami Ramdev, 18 Jan, 2025 : Hormonal imbalance is dangerous… why are men and women becoming victims? Yoga With Swami Ramdev: Ayurvedic therapy will help you get rid of the habit of painkillers. Yoga With Swami Ramdev: Keep changing sides in bed. Know how to get deep sleep in 30 seconds? TOP NEWS UP bypolls: 'Samajwadi Party promoted mafias, now opposing Mahakumbh Mela', says CM Yogi in Milkipur Three schools in Vadodara, including Navrachana School, receive bomb threat, police rush to spot Mokama firing incident: Gangster Sonu Singh and ex-MLA Anant Singh's supporter arrested in Bihar CBSE issues guidelines for 10th, and 12th board exams - List of permitted, barred items, dresscode LATEST NEWS FIITJEE coaching centres closed in Delhi, UP over teacher’s unpaid salaries Supreme Court rejects PIL seeking to scrap TDS system of tax collection: 'Very badly drafted' UP bypolls: 'Samajwadi Party promoted mafias, now opposing Mahakumbh Mela', says CM Yogi in Milkipur Monkeypox in Karnataka: Check here the symptoms, risk factors and preventive measures © 2009-2025 Independent News Service. All rights reserved."
8,IndiaTV News,https://www.indiatvnews.com/video/originals/delhi-air-pollution-expert-insights-on-symptoms-risks-and-ways-to-protect-yourself-health-dna-2024-10-24-958701,"Delhi Air Pollution: Expert Insights on Symptoms, Risks and Ways To Protect Yourself | Health DNA","Updated on: October 24, 2024 16:22 IST","Yoga Tips, 14 Dec 2024: Swami Ramdev Shares Helpful Yogasanas to Treat Thyroid Problems Yoga Tips, 14 Nov 2024: Increased weight causes diabetes, know from Swami Ramdev how to control it Yoga | 05 Nov 2024: People are becoming high blood pressure patients due to dangerous pollution. RECOMMENDED VIDEO Yoga Tips, 14 Dec 2024: Swami Ramdev Shares Helpful Yogasanas to Treat Thyroid Problems Yoga Tips, 14 Nov 2024: Increased weight causes diabetes, know from Swami Ramdev how to control it Yoga | 05 Nov 2024: People are becoming high blood pressure patients due to dangerous pollution. Yoga, 02 Nov 2024: Pollution should not weigh heavy on the heart...Swami Ramdev will provide yogic preparation TOP NEWS UP bypolls: 'Samajwadi Party promoted mafias, now opposing Mahakumbh Mela', says CM Yogi in Milkipur Kejriwal hits out at Yogi Adityanath: Should UP Chief Minister repair Delhi's law and order? Supreme Court rejects PIL seeking to scrap TDS system of tax collection: 'Very badly drafted' FIITJEE coaching centres closed in Delhi, UP over teacher’s unpaid salaries LATEST NEWS Trump plans to reach out to North Korean leader Kim Jong Un, says 'I got along with him' Kejriwal hits out at Yogi Adityanath: Should UP Chief Minister repair Delhi's law and order? FIITJEE coaching centres closed in Delhi, UP over teacher’s unpaid salaries Supreme Court rejects PIL seeking to scrap TDS system of tax collection: 'Very badly drafted' © 2009-2025 Independent News Service. All rights reserved."
9,IndiaTV News,https://www.indiatvnews.com/delhi/delhi-air-pollution-grap-3-curbs-revoked-in-delhi-ncr-amid-dip-in-pollution-levels-2025-01-17-971806,GRAP-3 curbs revoked in Delhi-NCR amid dip in pollution levels,"Published : Jan 17, 2025 19:10 IST, Updated : Jan 17, 2025 19:31 IST","The Centre’s air quality panel on Friday revoked GRAP-3 restrictions amid decrease in pollution levels in Delhi-NCR. This comes as the Commission for Air Quality Management (CAQM) decided to remove Stage III ('Severe' Air Quality) actions under the Graded Response Action Plan (GRAP) and intensify actions under Stage I and II with immediate effect. ""As per the air quality and weather forecast provided by IMD/IITM, there is a likelihood of AQI to remain in lower end of the Very Poor category in the coming days owing to the favourable meteorological conditions and strong wind speeds,"" CAQM said in a statement. ""Construction and demolition project sites, etc. which have been issued specific closure orders on account of violations/non-compliances of various statutory directions, rules, guidelines, etc. under no circumstances shall resume their operations without any specific order to this effect from the Commission,"" the statement added. Classes up to grade 5 are required to shift to hybrid mode under Stage 3. Parents and students have the option to choose online education wherever available. Under Stage 3, the use of BS-III petrol and BS-IV diesel cars (4-wheelers) is restricted in Delhi and nearby NCR districts. Persons with disabilities are exempt. Stage 3 also bans non-essential diesel-operated medium goods vehicles with BS-IV or older standards in Delhi. During winters, the Delhi-NCR region enforces restrictions under GRAP, which categorizes air quality into four stages – Stage 1 (Poor, AQI 201-300), Stage 2 (Very Poor, AQI 301-400), Stage 3 (Severe, AQI 401-450), and Stage 4 (Severe Plus, AQI above 450). Unfavourable meteorological conditions, combined with vehicle emissions, paddy-straw burning, firecrackers, and other local pollution sources, lead to hazardous air quality levels in Delhi-NCR during winters. (With inputs from PTI) TOP NEWS Supreme Court rejects PIL seeking to scrap TDS system of tax collection: 'Very badly drafted' Emergency vs Azaad: Which film ruled box office in first week of theatrical release? Novak Djokovic pulls out of Australian Open semifinal due to injury, Alexander Zverev gets walkover LATEST NEWS Trump plans to reach out to North Korean leader Kim Jong Un, says 'I got along with him' Kejriwal hits out at Yogi Adityanath: Should UP Chief Minister repair Delhi's law and order? FIITJEE coaching centres closed in Delhi, UP over teacher’s unpaid salaries Supreme Court rejects PIL seeking to scrap TDS system of tax collection: 'Very badly drafted' © 2009-2025 Independent News Service. All rights reserved."
10,IndiaTV News,https://www.indiatvnews.com/delhi/delhi-pollution-grap-4-curbs-revoked-in-national-capital-grap-3-to-stay-2025-01-16-971632,"Delhi pollution: GRAP-4 curbs revoked in national capital, GRAP-3 to stay","Published : Jan 16, 2025 19:55 IST, Updated : Jan 16, 2025 22:09 IST","Delhi air pollution: GRAP-4 curbs were revoked in Delhi-NCR on Thursday amid decreasing pollution levels. The Centre's panel on Delhi-NCR's air quality evoked curbs under stage 4 of the Graded Response Action Plan (GRAP) according to an official order. The curbs were imposed Wednesday as calm winds, low temperatures and foggy conditions allowed accumulation of pollutants in the region, with the air quality index clocking 396 last evening. Stage 4 curbs include a ban on all construction activities, entry of non-essential polluting trucks into Delhi, and mandatory shifting of school classes, except for classes 10 and 12, to hybrid mode. Non-essential diesel trucks are prohibited from entering Delhi, while Delhi-registered BS-IV and older diesel-run heavy goods vehicles are banned, except for essential services under Stage 4. During winters, the Delhi-NCR region enforces restrictions under GRAP, which categorizes air quality into four stages – Stage 1 (Poor, AQI 201-300), Stage 2 (Very Poor, AQI 301-400), Stage 3 (Severe, AQI 401-450), and Stage 4 (Severe Plus, AQI above 450). Unfavourable meteorological conditions, combined with vehicle emissions, paddy-straw burning, firecrackers, and other local pollution sources, lead to hazardous air quality levels in Delhi-NCR during winters. Delhi witnessed clear skies on Thursday following rainfall, with the minimum temperature settling at 10.3 degrees Celsius which is 2.7 notches above normal, officials said. The city registered a minimum temperature of 10.3 degrees Celsius, 2.7 degrees above normal, with humidity levels fluctuating between 74 and 100 per cent during the day. The maximum temperature settled at 19.6 degrees Celsius, normal for this time of the season. The IMD has forecast partly cloudy skies for Friday. Smog and dense fog are likely in most areas during the morning, with very dense fog in isolated pockets. Shallow fog or smog may persist in the evening and night. (With PTI inputs) TOP NEWS Supreme Court rejects PIL seeking to scrap TDS system of tax collection: 'Very badly drafted' Emergency vs Azaad: Which film ruled box office in first week of theatrical release? Novak Djokovic pulls out of Australian Open semifinal due to injury, Alexander Zverev gets walkover LATEST NEWS Trump plans to reach out to North Korean leader Kim Jong Un, says 'I got along with him' Kejriwal hits out at Yogi Adityanath: Should UP Chief Minister repair Delhi's law and order? FIITJEE coaching centres closed in Delhi, UP over teacher’s unpaid salaries Supreme Court rejects PIL seeking to scrap TDS system of tax collection: 'Very badly drafted' © 2009-2025 Independent News Service. All rights reserved."
