serial_number,website_name,url,title,date,content
1,Zee News,https://zeenews.india.com/india/weather-update-delhi-wakes-up-to-foggy-morning-flight-and-train-services-hit-check-forecast-2847160.html,Weather Update: Delhi Wakes Up To Foggy Morning; Flight And Train Services Hit — Check Forecast,"Jan 22, 2025, 10:20 AM IST","As fog continues to blanket several areas of the national capital, train and flight services in Delhi witnessed disruptions on Wednesday.
Trending Photos
Delhi Weather: The residents in the national capital woke up to a foggy morning on Wednesday as winter continued to engulf the city. The fog led to disruptions in train and flight services in Delhi on Wednesday.
Several flights at the Indira Gandhi International Airport were delayed due to fog. Nine trains originating from various stations to Delhi were running late as well. The trains running late include Brahmaputra Mail (15658), Poorva Express (12303), Purushottam Express (12801), and GCT ANVT SF EXP (22433).
According to the India Meteorological Department (IMD), fog conditions were detected over parts of North Uttar Pradesh, Bihar, and West Bengal, and patches over the Northeast. Delhi recorded a temperature of 10.4 degrees Celsius at 5:30 am today.
The weather department has predicted rainfall on Thursday and it has also said that foggy conditions will continue in the capital in the coming days. Meanwhile, air quality in the national capital was in the 'poor' category on Wednesday morning.
According to the Central Pollution Control Board, the Air Quality Index was logged at 262 at 8 a.m. today.
An AQI between zero and 50 is considered 'good', 51 and 100 'satisfactory,' 101 and 200 'moderate,' 201 and 300 'poor,' 301 and 400 'very poor,' and 401 and 500 'severe.'
Homeless people continued to take to night shelters to escape the cold in Delhi. The Delhi Urban Shelter Improvement Board (DUSIB) set up 235 pagoda tents to provide shelter to homeless people. Night shelters have been set up in several areas. Other North Indian regions were also impacted by fog this morning.
A dense layer of fog was seen blanketing Ayodhya, Uttar Pradesh this morning. As per IMD, the minimum temperature forecasted in Ayodhya for today is 11°C. Meanwhile, amid cold weather conditions, thousands of people gathered on the ghats of Sangam to take a holy dip in the Triveni Sangam, a sacred confluence of three rivers - Ganga, Yamuna and Saraswati.
Today marked the 10th day of the 45-day-long Maha Kumbh. Close to 8.81 crore devotees have taken a holy dip in Triveni Sangam so far. A cold wave continued to grip the Kashmir Valley. Srinagar recorded a temperature of 2.6 degrees Celsius at 5:30 am this morning. According to the IMD, there is a possibility of rain in Punjab, Haryana, Western UP, Delhi NCR, and North Rajasthan on January 22 and 23.
Stay informed on all the latest news, real-time breaking news updates, and follow all the important headlines in india news and world News on Zee News.
Live Tv"
2,Zee News,https://zeenews.india.com/india/delhi-wakes-up-to-very-poor-air-quality-imd-predicts-cloudy-skies-for-delhi-maharashtra-2846625.html,"Delhi Wakes Up To ' Very Poor' Air Quality; IMD Predicts Cloudy Skies For Delhi, Maharashtra","Jan 21, 2025, 10:04 AM IST","Maharashtra Weather Update: Partly cloudy conditions are expected over North Konkan and North Madhya Maharashtra. While, sunny weather is likely over South Konkan-Goa, South Madhya Maharashtra, and Marathwada.
Trending Photos
Delhi continued to experience very poor air quality on Tuesday, with the Air Quality Index (AQI) recorded at 319 at 6 AM, according to the Central Pollution Control Board (CPCB). The national capital remains enveloped in a toxic haze, compounded by fluctuating regulations under the Graded Response Action Plan (GRAP), leaving residents perplexed as authorities switch between the withdrawal, imposition, and reimposition of Stages I through IV.
At today's 6 am, the AQI levels reported by CPCB in various parts of the city were: Okhla Phase 2 (320), Alipur (300), Rohini (332), ITO (318), Ashok Vihar (322), Shadipur (257), Mundka (343), Wazirpur (338), Jahangirpuri (318), Narela (305), R.K. Puram (314), Pusa DPCC (316).
Anand Vihar recorded the highest AQI at 345, while DTU had the lowest at 233.
The CAQM stated that its GRAP sub-committee held a meeting on Friday to review the region's air quality situation and the forecasts from IMD and IITM.
“As per the Air Quality & Weather forecast provided by IMD/ IITM, there is a likelihood of the AQI of Delhi to remain in the lower end of 'Very Poor' category in the coming days owing to favourable meteorological conditions and strong wind speeds,” the CAQM said in the statement, IANS reported.
The India Meteorological Department (IMD) forecasts cloudy skies for Delhi on January 22 and 23, with a 2-degree Celsius rise in minimum temperature over the past 24 hours. A thin layer of fog was also observed in parts of Delhi-NCR, adding to the challenges of the ongoing cold wave.
As per the weather department, partly cloudy conditions are expected over North Konkan and North Madhya Maharashtra. Mainly sunny weather is likely over South Konkan-Goa, South Madhya Maharashtra, and Marathwada. Squally weather, with wind speeds ranging from 35 km/h to 45 km/h and gusts up to 55 km/h, is likely over the Gulf of Mannar and the adjoining Comorin area.
Stay informed on all the latest news, real-time breaking news updates, and follow all the important headlines in india news and world News on Zee News.
Live Tv"
3,Zee News,https://zeenews.india.com/health,Health,,
4,Zee News,https://zeenews.india.com/india/delhis-air-quality-remains-very-poor-amid-cold-wave-and-foggy-conditions-2846051.html,Delhi's Air Quality Remains 'Very Poor' Amid Cold Wave And Foggy Conditions,"Jan 20, 2025, 09:27 AM IST","The national capital is expected to experience thunderstorms and rain in coming days with foggy conditions on the remaining days of the week.
Trending Photos
The Indian Meteorological Department (IMD) predicted moderate fog in parts of Delhi, with maximum temperatures ranging from 23 to 26 degrees Celsius and minimum temperatures between 8 and 9 degrees Celsius on Monday, January 20.
The weather department also predicted that the national capital is expected to experience thunderstorms and rain on January 22 and 23, with foggy conditions on the remaining days of the week.
The air quality in the national capital deteriorated to the higher end of the ""very poor"" category with 349 AQI recorded on Monday at 6 am amid the cold wave, according to the Central Pollution Control Board (CPCB).
The AQI in several parts of Delhi is: Anand Vihar (407), Vivek Vihar (390), Wazirpur (381), Ashok Vihar (366), Chandni Chowk (347), Dwarka-Sector 8 (379), Jahangirpuri (373), ITO (370), Lodhi Road (360), Najafgarh (310), R K Puram (380), Rohini (370), Shadipur (331).
According to the Air Quality Early Warning System For Delhi, the air quality is likely to be in the Poor category from January 20 to 21. While for the next six days, the air quality is likely to be in the 'Very Poor' to 'Poor' category.
The Commission for Air Quality Management (CAQM) on Friday, revoked Stage-III measures under the revised Graded Response Action Plan (GRAP), effective immediately across Delhi- NCR after air quality deteriorated. However, actions under Stage-I and II of extant GRAP measures are intensified to prevent AQI from slipping down further.
While revoking GRAP III measures, CAQM said that there is a likelihood of AQI remaining in the lower end of the 'Very Poor' category in the coming days owing to favourable meteorological conditions and strong wind speeds. The prediction has been made based on air quality and weather forecasts provided by IMD/IITM.
Delhi's 24-hour average air quality index (AQI) was 368 (""very poor"") at 4 PM on Sunday, according to the Central Pollution Control Board's (CPCB's) daily bulletin, marking a rise of over 100 points from Saturday's 4 p.m. reading of 255 (""poor"").
(With IANS Inputs)
Stay informed on all the latest news, real-time breaking news updates, and follow all the important headlines in india news and world News on Zee News.
Live Tv"
5,Zee News,https://zeenews.india.com/india/weather-update-imd-issues-alert-for-rainfall-in-tamil-nadu-predicts-cold-wave-in-delhi-haryana-2845376.html,"Weather Update: IMD Issues Cold Wave Alert For Delhi, Haryana; Predicts Rainfall In Tamil Nadu","Jan 18, 2025, 09:03 AM IST","The weather department forecasted heavy rainfall over Tamil Nadu and raised cold waves alert for Delhi, Haryana and Punjab.
Trending Photos
Amid cold waves and increasing levels of air pollution in the National Capital, the Indian Meteorological Department (IMD) issued a yellow alert on Saturday for Himachal Pradesh, Uttar Pradesh, Delhi and west Rajasthan. Meanwhile, an orange alert for cold waves and rainfall in the areas of East Rajasthan, Punjab, and Haryana. Meanwhile.
The weather department also forecasted heavy rainfall over the isolated regions of Tamil Nadu.
As cold waves grip the national capital, a few flights are delayed at IGI Airport, and several trains are delayed at New Delhi Railway Station due to fog.
The air quality in Delhi improved to the 'very poor' category. According to the Central Pollution Control Board, the AQI was recorded at 334 in the national capital on Saturday. The weather forecast predicted smog or dense to very dense fog at isolated places in the morning, with mainly clear skies. Smog or shallow fog is expected in the evening and night. According to IMD, the national capital is likely to record a maximum of 19 degrees Celsius and a minimum of 7 degrees Celsius.
Stay informed on all the latest news, real-time breaking news updates, and follow all the important headlines in india news and world News on Zee News.
Live Tv"
6,Zee News,https://zeenews.india.com/health/planning-parenthood-via-ivf-study-suggests-avoiding-outdoor-air-pollution-2845570,Planning Parenthood Via IVF? Study Suggests Avoiding Outdoor Air Pollution,"Jan 18, 2025, 03:58 PM IST","A recent study reveals that outdoor air pollution can negatively impact embryo development and fertility outcomes in IVF cycles.
Trending Photos
New Delhi: Planning parenthood via in vitro fertilization (IVF)? Stay away from outdoor air pollution, suggests a study.
The study showed that exposure to outdoor air pollution can negatively impact human embryo development in IVF cycles.
Researchers from Emory University, US, found that exposure to air pollution at times when a female's ovaries are producing eggs (also known as oocytes) and when a male's testicles are producing sperm can have a negative impact.
“We saw that both maternal and paternal air pollution exposures during gametogenesis have independent, largely detrimental, effects on early embryological outcomes,"" said Audrey Gaskins, lead author and associate professor of epidemiology at Rollins School of Public Health at Emory.
The team conducted research on samples from 500 anonymous oocyte donors and 915 male recipient partners who were all undergoing in vitro fertilization (IVF) between 2008 and 2019 in the US. Of all the air pollutants examined, ambient exposure to organic carbon appeared to have the most consistent detrimental effect.
Organic carbon is a major element of the hazardous fine particulate matter PM2.5, which is emitted from combustion sources such as vehicle exhaust, industrial processes, and wildfires is bad.
Ambient exposure to organic carbon was found to consistently cause negative impacts on oocyte survival, fertilisation, and embryo quality, revealed the study, published in the journal Environment International.
Both animal and human epidemiological studies have supported the idea that air pollutants cause defects during gametogenesis leading to a drop in reproductive capacities in exposed populations.
""Based on our study and other studies, air pollution is certainly an exposure of concern for those who are seeking to reproduce and conceive. It really should be an important focus to mitigate exposures for these populations, among many other populations,"" Sarah LaPointe, a postdoctoral research student at Rollins.
Stay informed on all the latest news, real-time breaking news updates, and follow all the important headlines in india news and world News on Zee News.
Live Tv"
7,Zee News,https://zeenews.india.com/india/delhi-weather-imd-issues-yellow-alert-as-fog-cold-waves-continue-to-grip-capital-flight-train-services-hit-2844691.html,"Delhi Weather: IMD Issues Yellow Alert As Fog, Cold Waves Continue To Grip Capital; Flight & Train Services Hit","Jan 17, 2025, 09:24 AM IST","Delhi Weather Update: No respite is in sight for the residents in Delhi as cold waves and fog continue to engulf parts of the national capital.
Trending Photos
Delhi Weather: As the national capital reels under bone-chilling cold, residents in Delhi woke up to cold waves on Friday morning with fog shrouding many parts of the city. In view of the foggy conditions and persisting fog, the India Meteorological Department (IMD) on Friday issued a yellow alert for the city till Sunday predicting dense to very dense fog.
In its Friday morning bulletin, the weather office also predicted rain in Delhi besides fog, suggesting no relief for Delhiites from biting cold in the coming days. The minimum temperature is likely to hover around 6 to 7 degrees in the national capital.
Several flights and trains to and from the national capital have been delayed due to dense fog and cold waves. A few flights are delayed at the IGI Airport, and as many as 27 trains originating from several stations are delayed.
Meanwhile, the air quality in the national capital continued in the 'poor' category. According to the Central Pollution Control Board, the AQI was recorded at 294 in Delhi today at 7 am.
Delhi Pollution Control Committee (DPCC), Mundka, recorded an AQI of 324; Narela reached 320, Nehru Nagar hit 360, and Patparganj registered an AQI of 377. Additionally, Okhla Phase-2 reported an AQI of 351, while Sonia Vihar stood at 323.
Notably, Vivek Vihar had the highest reading at 390. Other areas like R K Puram (344), Rohini (343), and Najafgarh (221) also exhibited unhealthy air quality. However, data from Punjabi Bagh remained insufficient in the last 24 hours. Meanwhile, areas such as Mandir Marg (144) and Sri Aurobindo Marg (156) showed relatively lower but still moderate AQI levels.
Visuals from the AIIMS night shelter depicted individuals resting comfortably despite the ongoing air quality concerns in the city. An AQI between zero and 50 is considered 'good, 51 and 100 'satisfactory,' 101 and 200 'moderate,' 201 and 300 'poor,' 301 and 400 'very poor,' and 401 and 500 'severe.
Stay informed on all the latest news, real-time breaking news updates, and follow all the important headlines in india news and world News on Zee News.
Live Tv"
8,Zee News,https://zeenews.india.com/web-stories/travel/7-pristine-countries-leading-the-world-in-cleanliness-and-sustainability-2844868.html,7 Pristine Countries Leading the World in Cleanliness and Sustainability,,
9,Zee News,https://zeenews.india.com/india/weather-update-overnight-rain-in-delhi-improves-aqi-29-trains-hit-due-to-fog-check-todays-forecast-2844179.html,Weather Update: Overnight Rain In Delhi Improves AQI; 29 Trains Hit Due To Fog — Check Today's Forecast,"Jan 16, 2025, 08:20 AM IST","The air quality in Delhi improved to the 'very poor' category. According to the Central Pollution Control Board, the AQI was recorded at 356 in the national capital during early hours on Thursday.
Trending Photos
Delhi Weather: Amid cold waves and increasing levels of air pollution, the Delhi-NCR witnessed overnight rainfall bringing respite for the residents. Following the showers, a slight improvement in the air quality was also seen. There were, however, no reports of flooding and waterlogging in the national capital.
The air quality in Delhi improved to the 'very poor' category. According to the Central Pollution Control Board, the AQI was recorded at 356 in the national capital on Thursday.
In its weather bulletin on Wednesday, the India Meteorological Department (IMD) predicted more showers in the national capital on Thursday. According to the weather office, Delhi is set to witness light rain or drizzle accompanied by fog.
The weather bulletin also suggests that the national capital will witness fog throughout the week. As a result of the persisting fog in the national capital and parts of north India, 29 trains to Delhi are running late, as per Indian Railways.
The minimum temperature on Thursday is likely to hover around 10 degrees Celsius, and as far as the maximum temperature is concerned, it will remain around 17 degrees Celsius.
Meanwhile, on Wednesday, dense fog engulfed parts of the national capital, marking the season’s first intense fog spell, lasting three hours, which disrupted the schedules of over 100 flights and 26 trains due to low visibility.
The fog significantly reduced visibility during the morning hours, improved slightly in between, and then once again shrouded the city as evening approached.
""Delhi experienced very dense fog on the morning of January 15, with visibility dropping to zero at Safdarjung and IGI Airport from 8:30 am, persisting until 11:30 am,"" the IMD stated.
""This was the season’s first instance of dense fog, and CAT-III operations extended beyond 9:30 am, with RVR at IGI Airport runways ranging between 75-300 meters during the peak fog period,"" it added.
An orange alert is issued for bad weather that can disrupt rail and road services. The weather department advised caution, saying, “Drivers should use fog lights and exercise extreme care while on the road. Travellers should stay in touch with airlines, railways, and state transport authorities for updates on schedules.”
Stay informed on all the latest news, real-time breaking news updates, and follow all the important headlines in india news and world News on Zee News.
Live Tv"
10,Zee News,https://zeenews.india.com/web-stories/lifestyle/6-lifestyle-habits-that-lead-to-premature-grey-hair-2844059.html,6 Lifestyle Habits That Lead to Premature Grey Hair,,
