serial_number,website_name,url,title,date,content
1,Times of India,https://timesofindia.indiatimes.com/life-style/travel/news/grap-stage-iv-restrictions-reimposed-in-delhi-ncr-amid-rising-pollution-levels/articleshow/117272095.cms,GRAP Stage IV restrictions reimposed in Delhi-NCR amid rising pollution levels,,"Delhi-NCR is once again grappling with severe air pollution as the Centre has reimposed Stage IV restrictions under the Graded Response Action Plan (GRAP). The decision, announced on Wednesday (January 15) by the Commission for Air Quality Management (CAQM), comes after a rapid deterioration in air quality across the region, pushing the Air Quality Index (AQI) into the 'Severe+' category.
If reports are to go by, all measures outlined in GRAP Stages I through IV will now be implemented without delay. Stage IV is the most stringent level of the action plan, and includes additional curbs aimed at mitigating pollution levels and preventing the AQI from worsening further.
Key restrictions:
BS-III petrol and BS-IV diesel cars (4-wheelers) are restricted in Delhi and nearby NCR districts.
Medium and heavy diesel vehicles registered in Delhi (BS-IV and below) are banned, except those involved in essential services.
Light Commercial Vehicles from outside Delhi, except EVs, CNG, or BS-VI diesel, cannot enter the city unless carrying essential goods or services.
Trucks running on LNG, CNG, electric power, or BS-VI diesel are allowed to enter Delhi.
Truck entry into Delhi is prohibited, except for those carrying essential goods or services.
Also read: Delhi weather update: 7 flights cancelled, 184 delayed due to zero visibility
Education:
Physical classes may be suspended for all students, with possible exceptions for classes 10 and 12.

Work-from-home guidelines:
NCR state governments and the Delhi government may allow 50% of employees in government, municipal, and private offices to work remotely.
The central government will decide whether its employees can work from home.
The air quality in Delhi had shown signs of improvement earlier in January due to a spell of rainfall, prompting the CAQM to revoke Stage III restrictions on January 12. However, the respite was short-lived as pollutants surged again, particularly in the past week, necessitating the return of stricter controls.
Also read: Connecting faiths: All about 802-km Nagpur-Goa Shaktipeeth Expressway
With the CAQM closely monitoring the situation, the focus remains on ensuring compliance and reducing emissions. The authorities hope that these combined efforts will lead to an improvement in air quality, offering some relief to Delhi-NCR residents."
2,Times of India,https://timesofindia.indiatimes.com/education/news/delhi-schools-directed-to-shift-to-hybrid-mode-of-classes-for-grades-up-to-9-and-11-amid-air-pollution/articleshow/117282166.cms,Delhi schools directed to shift to hybrid mode of classes for grades up to 9 and 11 amid air pollution,,"On January 15, the Delhi Directorate of Education (DoE) directed all schools to conduct hybrid classes for students up to Class 9 and Class 11, following the implementation of stage four curbs under the Graded Response Action Plan. This decision was prompted by a sharp decline in air quality in the city.
The India Meteorological Department and the Indian Institute of Tropical Meteorology have predicted that the Air Quality Index (AQI) may soon breach the 400 mark, according to PTI. Consequently, the Commission for Air Quality Management (CAQM) has instructed authorities in Delhi-NCR to ""straightway invoke"" all actions under stages 3 and 4 with immediate effect.
The Delhi Directorate of Education’s circular stated, ""All heads of government, government-aided, unaided private schools under DoE, NDMC, MCD, and the Delhi Cantonment Board are directed to conduct hybrid classes for students up to Class 9 and 11, wherever online learning is feasible, effective immediately until further notice,"" as reported by PTI.
For students of Classes 10 and 12, classes will continue to be held in schools. Stage 4 curbs include a ban on all construction activities and the entry of non-essential polluting trucks into Delhi.
  BY TABOOLA
SPONSORED LINKS
YOU MAY LIKE
Get a ₹2CR LifeCover at ₹889/month today with Axis Max Life.
Axis Max Life Insurance
Get Quote
This decision comes as the Air Quality Index (AQI) rises, with forecasts suggesting pollution levels may soon exceed the critical 400 mark, necessitating immediate intervention.
Students, parents, and guardians are advised to stay in touch with school authorities for further updates.
(With inputs from PTI)

Stay updated with the latest education news on Times of India. Explore the CBSE date sheet for Class 10 and 12 across Arts, Science, and Commerce streams."
3,Times of India,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/the-hidden-dangers-of-air-pollution-and-fog-on-human-health/articleshow/117120360.cms,The hidden dangers of air pollution and fog on human health,,"Human exposure to unhealthy levels of air pollution, often exacerbated by seasonal fog, has become a significant public health issue in urban areas across both developed and developing nations. According to the World Health Organization (WHO), air pollution was responsible for nearly 4.2 million premature deaths in 2018 alone.
Although the connection between air pollution and serious respiratory and cardiovascular diseases is established, research continues to reveal other adverse effects of air pollution on brain health, especially in children and the elderly.
Effects on brain health
Exposure to polluted air for an extended period has increasingly been associated with neurodegenerative diseases like dementia. Short-term exposure has been associated with reduced daily productivity, declining attention spans particularly in children, and headaches.
  BY TABOOLA
SPONSORED LINKS
YOU MAY LIKE
Get a ₹2CR Life Cover at just ₹889/month today with Axis Max Life
Axis Max Life Insurance
Get Quote
Research studies involving MRI found that aging brains that had high concentrations of pollutants combined with fog show structural brain changes and atrophy. In the study of animals, such effects were detected before the condition develops to dementia. Researchers have found that air pollution also leads to neuron inflammation and oxidative stress, factors contributing to neurodegenerative disease and psychiatric illness such as anxiety and depression.
Short-term exposure health effects
Even brief exposure to polluted fog can result in noticeable health impacts, including:
Frequent headaches.
Reduced concentration and attention span.
Difficulty focusing on tasks.
Steps to Mitigate Health Risks
To address the health hazards posed by air pollution and fog, both collective and individual actions are essential:
Public and policy-level measures
Reduce emissions by promoting eco-friendly public transportation.
Limit the burning of garbage and agricultural waste.
Enforce stricter regulations on vehicles and industries to curb pollution.
Personal Protective Measures
Wear mask with filters for fine particulate if air quality is bad
Outdoor recreation may need to be limited on extremely polluted days
Ensure proper ventilation within indoor space and add HEPA cleaners
Follow antioxidant and anti-inflammatory diet high in such things as leafy greens, berries and fish in support of a healthy brain
Call to action
With increased pollution by air and compounded by fog, the danger to public health has increased alarmingly. This requires a combined approach by governments, industries, and people to reduce the risks and protect vulnerable groups. It can be achieved by implementing preventive measures and enhancing cleaner environments that reduce the long-term health impact and increase overall well-being.
Authored by: Dr. Ashish Gosar, Neurologist, Saifee Hospital, Mumbai
How is smog dangerous to human health?"
4,Times of India,https://timesofindia.indiatimes.com/city/mumbai/air-pollution-alarming-at-multiple-locations/articleshow/117093827.cms,Air pollution alarming at multiple locations,,"Mumbai: For a major part of November and December 2024, pollution was higher than the standard prescribed by the Central Pollution Control Board (CPCB) in at least 12 out of 30 locations where PM2.5 and PM10 levels were monitored.
NGO Watavaran analysed air quality data for Mumbai from Nov 1 to Dec 31 last year. For PM2.5, 60ug/m3 is the safe limit and for PM10 it is 100ug/m3. Monitoring units have been put up at the 30 locations by govt agencies, including the BMC and the Maharashtra Pollution Control Board.
Borivali East, which encompasses the Sanjay Gandhi National Park, and Malad West experienced hazardous air quality levels for 90% of the monitored period, while Bandra-Kurla Complex and Navy Nagar in Colaba exceeded safety limits for 87% of the monitored days, said Bhagwan Kesbhat, CEO, Watavaran.
Other areas which experienced high pollution levels for over 60% of the days monitored include Byculla (67% of the days), Deonar (74%), Ghatkopar (79%), Kandivali (82%), Chembur (84%) and Kherwadi in Bandra East (80%).
Kesbhat said industrial activity due to the presence of oil refineries and a thermal power station within the city limits was one of the reasons for high pollution levels in Chembur and Deonar. Construction, vehicular emissions, and bakeries and restaurants using wood for burning were among the reasons at other locations. Navy Nagar, Colaba has seen a significant rise in vehicular traffic, he said.
Mohsin Khan, senior project officer, Watavaran, said the current cool weather in Mumbai meant there was no wind circulation, resulting in particulate matter hanging in the air. ""The unseasonal rains in the second week of December helped bring down the pollution levels, providing temporary relief, but the overall trend remains deeply concerning,"" he said.
Khan said the findings are worrying because PM 2.5 particles can penetrate deep into the lungs and enter the bloodstream, posing severe health risks to residents. ""The persistent high levels we are seeing across multiple locations indicate a systemic problem that requires immediate intervention,"" he said.
Kesbhat said the MPCB and the BMC must develop location-specific action plans for high-risk areas and ensure strict enforcement of dust control measures at construction sites."
5,Times of India,https://timesofindia.indiatimes.com/technology/social/india-would-save-more-years-of-life-by-tech-millionaire-bryan-johnsons-tips-on-tackling-air-pollution/articleshow/117016439.cms,“India would save more years of life by…”: Tech millionaire Bryan Johnson’s tips on tackling air pollution,,"Image source: X
American tech entrepreneur Bryan Johnson, famous for his anti-aging ventures, has been making headlines as of late due to his reactions toward the India air pollution crisis. Via X tweet, Johnson stated that using the imagination in applying solutions to the problem of air pollution in India might have a greater effect on increasing life expectancy than finding a cure for cancer. His statement highlighted the grave environmental challenge India is facing, and he also gave practical advice on how to minimize exposure to pollution.
Bryan Johnson's involvement in India's air pollution discussion highlights the interconnected nature of environmental and health issues. By promoting solutions like air purifiers and N96 masks, he stresses the need for immediate actions in polluted environments.
Bryan Johnson shares solutions to combat pollution in India

In the video accompanying his tweet, Johnson's associate explained the measures they took during their stay in Mumbai to minimize the effects of poor air quality. To track the air quality, they carried a portable device so that they were aware of the pollution levels around them. They avoided exposure to the unhealthy air by not visiting the gym because of its poor air quality. They kept car windows shut, relied on air conditioning in their rooms to circulate clean air, and wore N96 masks when they ventured outside. His colleague even carried portable air filters wherever they went to make sure that fresh air was constantly available to counter the pollution that was being constantly thrown their way.
  BY TABOOLA
SPONSORED LINKS
YOU MAY LIKE
Get a ₹2CR Life Cover at just ₹889/month today with Axis Max Life
Axis Max Life Insurance
Get Quote

Johnson highlighted air pollution's impact on health and life expectancy

Johnson's tweet and video offered not just solutions but also highlighted the severity of air pollution in India. He said that more health benefits would come from efforts by the country to fight air pollution than from the discovery of a cure for cancer. The comparison serves to underscore the imperative of urgent action, since air pollution is a silent killer affecting millions of people in India, cutting their life expectancy short and causing all sorts of health problems. The message of Johnson is a wake-up call for this issue on a national scale to save more lives.
Mixed reactions to Bryan Johnson's measures advised

Some people on Twitter found some of the protective measures he advised to be over-the-top, such as carrying a portable air purifier. A user even proposed some more practical policy changes: installing air filters in all businesses, more public campaigns on mask use, planting more trees, and giving subsidies to electric vehicles to reduce pollution. This is a growing sentiment for systemic change in tackling the pollution problem.
The comment by other users about taking pollution seriously is to say that fresh air is a right and not a privilege. It points out that air pollution, besides being a health issue, also relates to socioeconomic aspects wherein the vulnerable section of the population cannot access even temporary solutions.
Also Read | “Savage ChatGPT”: ChatGPT’s clever roast goes viral in a number game sparks a wave of viral laughter
GN Awards 2024: Vote for your favorite Gadgets"
6,Times of India,https://timesofindia.indiatimes.com/city/bengaluru/vehicles-generate-25-40-of-pm-but-switching-to-electric-can-cut-it-by-22-study/articleshow/117361608.cms,"Vehicles generate 25-40% of PM, but switching to electric can cut it by 22%: Study",,"Bengaluru: With dust and smog choking parts of Bengaluru city and worsening its air quality index over the years, a study by researchers at the National Institute of Advanced Studies (NIAS) has found that the transport sector generated nearly 40% of PM (particulate matter) 2.5 and 25% of PM 10 emissions in 2023. If all cars and commercial vehicles in the city are converted to electric vehicles, emissions will reduce by nearly a quarter, the study said.
Contrary to the belief that the real estate sector contributes the highest percentage of dust, the NIAS research revealed that the transport industry contributes to 39.1% — the highest — of the annual emissions of PM 2.5, followed by the industrial sector (24.2%) and road dust (13.7%). Similarly, road dust (34.3%) contributes in a big way to PM 10 emission, followed by the transport (23.7%) and industrial sectors (17.3%).
Dr Gufran Beig, chair professor, NIAS, revealed that the overwhelming presence of two-wheelers in Bengaluru is a major factor in transport-related emissions. ""The relatively low number of buses suggests a potential need for strengthening public transportation to reduce Bengaluru's reliance on private vehicles. Besides, the city also has a higher percentage of older cars compared to a relatively younger fleet of two-wheelers and three-wheelers, contributing considerably to these pollutants in the regular air,"" he said.
Referring to the ongoing debate on these pollutants, Dr Beig pointed out that everyone has failed to understand the dimensions of pollutants. ""Whenever we talk about these pollutants, we only talk about their size; nobody talks about the toxicity of these particles. A smaller toxic particle of PM 2.5 or PM 10 can also cause as much harm as a large quantity of these particulate matter. Most of these toxic particles are exhausted after burning fossil fuels such as petrol and diesel. Switching to EV is the solution,"" he said.
  BY TABOOLA
SPONSORED LINKS
YOU MAY LIKE
Get a ₹2CR LifeCover at ₹889/month today with Axis Max Life.
Axis Max Life Insurance
Get Quote
Given the worsening air quality of Bengaluru, the researchers tried addressing the situation by replacing conservative vehicles with EVs for estimating reduction in annual emissions. ""Despite the large volume of cars on city roads, converting all of them into EVs would only reduce emissions by 7.6%. But the fact lies in commercial vehicles and buses. If all of them were to be converted into EVs, it would bring down emissions by a whopping 21.8% and reduce the per capita healthcare cost in the city,"" Dr Beig explained.
Asked about the reluctance among motorists to switch to EVs, he said, ""Any innovation comes with its own set of challenges. We all need to work towards addressing those challenges rather than retreating. I agree that transition to EVs is plagued by problems, including insufficient infrastructure, lack of framework for safe disposal of batteries, and sustained durability of charge. But given our expertise in various fields, these can be resolved. Also, nothing is as important as our health. If these transitions are going to benefit our health in the long run, it's time we initiated the change.
Could have healthcare implications too
The per capita healthcare spending of the average Bengalurean increased by a staggering Rs 3,310 in 2023 alone, according to the NIAS study. It also revealed that Bengalureans suffered crores of rupees in losses in the form of premature deaths, morbid conditions, and prolonged ailments.
But can this be reversed? Experts, led by Dr Gufran Beig, revealed that a planned transition from diesel and petrol vehicles to electric vehicles (EVs) would considerably bring down healthcare expenses of Bengaluru, which are largely rising thanks to air pollution.
""If all vehicles, especially light commercial vehicles and buses, switch over to EVs, the per capita healthcare cost is likely to come down by at least Rs 2,008.4 a year,"" explained Dr Beig, while taking into consideration the cost of hospital admission, consultation, procedures, tests, and pharmacy expenses."
7,Times of India,https://timesofindia.indiatimes.com/city/delhi/dikshit-alleges-misgovernance-by-aap-highlights-cong-achievements/articleshow/117361385.cms,"Dikshit alleges misgovernance by AAP, highlights Cong achievements",,"New Delhi: Former Congress MP Sandeep Dikshit on Saturday alleged that due to the ""misgovernance and dishonesty"" of AAP govt, Delhi is facing air and water pollution.
Dikshit, who is contesting from the New Delhi constituency against former chief minister Arvind Kejriwal, listed various achievements of the earlier Congress govt under Sheila Dikshit in transport, infrastructure, and sewage management.
The Congress functionary is the son of the late Delhi chief minister, Sheila Dikshit.
""The DTC fleet has shrunk from around 5,500 buses during Congress govt to just around 3,000 buses now as Kejriwal has taken no step to enhance the DTC fleet in the past 10 years. Due to corruption in the maintenance of DTC buses, breakdowns have become a regular feature,"" he said.
  BY TABOOLA
SPONSORED LINKS
YOU MAY LIKE
Upto ""1 Lakh Profit In a Month"" With His Algo Trading Strategy !
TradeWise
Learn More
He added that it was the responsibility of Delhi govt to clean up the air without giving excuses, ""though Kejriwal has only excuses to offer.""
The Congress candidate said that the setting up of more gas-based power plants was first started by the previous Congress govt in Bawana, which was another step taken to combat air pollution.
""Just by blaming Haryana and UP and stubble burning, Kejriwal has been trying to cover up his incompetence and inaction through tutored data and blatant lies. Stubble burning existed for decades, but the main cause for Delhi's air pollution was a sharp spike in vehicles on the roads in the absence of a robust public transport system and severe erosion of the green cover,"" Dikshit said.
Talking about the constituency, Dikshit said: ""People in the New Delhi constituency are very dissatisfied. I have been campaigning on the ground, and there is hardly any work done by Kejriwal, besides a few benches and dysfunctional CCTV cameras. Everyone is complaining about the poor quality of water, even in areas like NDMC, where it is hard to imagine problems of such basic facilities.""
Congress officials added that in the past few years, no new sewage treatment plant has been constructed by AAP govt. ""It was only by 2021-22, after the intervention of the courts, that three new STPs are being constructed, according to a DJB report submitted to the LG. Accumulated losses of DJB are at Rs 76,000 crore due to corruption and mismanagement by the Kejriwal govt,"" Dikshit said.
The Congress contestant from New Delhi said that his party has a plan to clean up the Yamuna and reduce air pollution.
""During Congress govt, several big flyovers were planned and constructed. We looked at road widening and traffic jam patterns and then, in a planned manner, rolled out projects. The blueprint will be applied in Delhi.""
AAP is yet to respond to Dikshit's allegations."
8,Times of India,https://timesofindia.indiatimes.com/city/kochi/cobweb-study-shows-heavy-metal-presence-in-citys-air/articleshow/117360516.cms,Cobweb study shows heavy metal presence in city’s air,,"Kochi: Official reports on air pollution levels due to smoke and dust from industrial and vehicular emissions and landfill fires show that air pollution levels in Kochi city and surrounding areas are at average or normal levels.
However, a study using spider cobwebs here reveals that there are at least 12 heavy metals, some of which are toxic in nature, present in the air. Breathing this air is not just bad for lungs, but doctors say it affects brain and other organs over time.
Scientific studies indicate that excessive levels of lead, for instance, are toxic to nervous system and blood, while cadmium increases cancer risk, kidney damage and weakening of bones.
The most vulnerable are chronic asthma patients and those susceptible to respiratory infections. ""Also, there is concern about bioaccumulation of heavy metals within human tissue,"" said IMA-Kochi spokesperson Dr Rajeev Jayadevan.
  BY TABOOLA
SPONSORED LINKS
YOU MAY LIKE
Get a ₹2CR LifeCover at ₹889/month today with Axis Max Life.
Axis Max Life Insurance
Get Quote
For the study, samples were collected from public places like bus stands, shops and buildings that had not cleared cobwebs for a long time. Researchers decided to study spider webs due to their ability to trap pollutants passively.
""Spider webs possess the remarkable ability to capture and accumulate a range of airborne pollutants, including particulate matter (PM), heavy metals and even microplastics. Their sticky and durable nature allows webs to passively trap pollutants for extended periods, acting as a natural filter for environmental contaminants,"" said senior scientist at Centre for Arachnology Research, Bharata Mata College, Mathew M Joseph, who conducted the study with his student Archana Anil of Sacred Heart College.
They presented the study findings at the eighth conference of Asian Society of Arachnology, held in Wuhan, China, recently.
Presence of heavy metal concentration was higher at urban sites like Thevara and industrial areas like FACT and least at the suburbs of Kizhakkambalam.
Researchers plan to use spider webs to study pollutants, including micro and nanoplastics and other nanopollutants in the atmosphere."
9,Times of India,https://timesofindia.indiatimes.com/city/patna/buxars-air-worse-than-delhi-six-more-bihar-cities-log-poor-aqi/articleshow/117360164.cms,Buxar’s air worse than Delhi; six more Bihar cities log ‘poor’ AQI,,"1
2
Patna: The ambient air in Buxar with an air quality index (AQI) of 293, categorised as ""poor"", remained worse than Delhi for the third consecutive day on Saturday. Delhi's AQI was recorded at 255 on Saturday, according to data from the Central Pollution Control Board (CPCB). However, only six other cities in the state, including Patna, experienced poor air quality during this period.
Other cities with poor air quality on the day included Patna (238), Hajipur (226), Araria (222), Begusarai (217), Muzaffarpur (204) and Aurangabad (202). The AQI for five other places — Bettiah, Darbhanga, Kishanganj, Motihari, and Rajgir — could not be calculated due to insufficient data, as per CPCB.
The AQI measures air quality, reflecting pollutants like particulate matter (PM 2.5 and PM 10) that pose health risks. Health experts have long warned against prolonged exposure, saying that higher AQI levels can worsen conditions for asthma patients and those with respiratory problems, leading to pulmonary issues and, in extreme cases, lung cancer.
According to the CPCB website, air in the ""poor"" range (201-300) can cause breathing discomfort on long-term exposure. AQI in the ""very poor"" range (301-400) can lead to respiratory illnesses while prolonged exposure to ""severe"" air (401-500) may damage even healthy individuals and severely impact those with existing diseases or comorbidities."
10,Times of India,https://timesofindia.indiatimes.com/city/mumbai/smoggy-sunday-marathon-air-foul-along-route-survey/articleshow/117340989.cms,Smoggy Sunday marathon? Air foul along route: Survey,,"Mumbai: As the city prepares for the Tata Mumbai Marathon (TMM) 2025, the air that thousands of participants will breathe on Sunday may not be satisfactory. Just 48 hours before the annual mega running event, a survey conducted by an environmental group on Friday morning found pollution levels along the route very high and breaching safety limits.
Thanks to the smoggy conditions prevailing due to the winter chill brought in by northerly winds, the speed of the sea breeze, which otherwise drives away the smog, was reduced.
On Friday, between 5am and 8.27am, volunteers of Awaaz Foundation used a sensor-based monitor to record PM2.5 particulate matter to check pollution levels at eight spots along the marathon route. None of the locations had particulate matter levels within limits considered ‘safe' by the authorities, Awaaz Foundation claimed. The routes of both the full (42.19km) and half (21.09km) marathons cover the stretch between the Chhatrapati Shivaji Maharaj Terminus in south Mumbai and Bandra in the western suburbs.
In a letter to the Maharashtra Pollution Control Board and BMC, Awaaz Foundation's convenor Sumaira Abdulali said the highest pollution level of 154 micrograms per cubic metre was found at Mahim Reti Bunder, not far from the starting point of the half marathon in which 15,000 runners would be participating on Sunday. The lowest level of 95 micrograms per cubic metre was found at Khan Abdul Gaffar Khan Road in central Mumbai, the letter said, adding that as per the Central Pollution Control Board (CPCB) norms, the safe limit for PM2.5 is 60 micrograms for 24 hours.
  BY TABOOLA
SPONSORED LINKS
YOU MAY LIKE
Get a ₹2CR LifeCover at ₹889/month today with Axis Max Life.
Axis Max Life Insurance
Get Quote
""In light of the consistently poor air quality displayed by govt monitors in nearby areas for the past few months, the aim was to ascertain the health impact of air pollution on marathon participants, particularly those with pre-existing health concerns. All readings were well in excess of the CPCB safe limit for PM2.5 of 60 µg/m3 for 24 hours,"" said Abdulali in her letter. ""Given the concerning air pollution levels in Mumbai for the last few weeks and the fact that poor air quality poses a serious health risk, especially for endurance athletes and those involved in such sporting or leisure activities, we request that BMC, MPCB, and other authorities conduct official tests to ascertain the PM2.5 air quality along the length of the marathon route."""
